id,tenure_years,nb_prod_act,pow_max,cons_12m,net_margin,has_gas_flag,days_to_contract_end,churn_probability,risk_rank,risk_decile
7e2763333b4aa4bec80cb0127afc1361,3,1,25.097,34575,461.22,0,151,0.6202376222829571,49,1
dd044ab454732ae5972ad7065a4404f5,4,1,26.0,25802,283.51,0,3,0.6199536433130229,50,1
b1b88ad5337b366a8119f18df3653a86,3,1,41.467,40586,533.85,0,128,0.61897870610063,51,1
836a15d4c3b2a8d51b7ac210ca086984,3,1,26.4,12235,150.07,0,365,0.6189176056207943,52,1
cd66b6bba3aec72b9b65efd273a43398,4,1,27.321,60062,644.48,0,349,0.6187985742142396,53,1
f323ab07b3d923c50d2342a47c34e989,3,1,17.320999999999998,21855,238.43,0,363,0.6187510337605255,54,1
44eed234ed9839da60e00b087320ac1a,3,1,20.785,14316,162.1,0,347,0.6187274109320151,55,1
a8909ca0c4a85f075fc91b55a68cd11c,3,1,17.320999999999998,97894,6.12,0,53,0.6175479384727274,56,1
a9f05668b3deb6a8f82d09d7d5dcebdc,4,1,17.35,11474,94.12,0,348,0.6169632584015016,57,1
ebe579f19a0a40ded74a6a5fb246c438,4,1,19.8,4332,43.99,0,143,0.6158655002598828,58,1
c915814230980a756acbf73976debeb9,3,1,26.6,8763,122.64,0,254,0.6156107264709783,59,1
ffa2f5d8f3f34ba440c4cd50e3216916,3,1,15.001,12125,132.38,0,93,0.6155142517247882,60,1
352fa0ef0fdb3c21328ef497c78ffa06,3,1,20.785,572228,604.41,0,137,0.6154984762056892,61,1
83515b52f90127e522ead3c74419de9c,3,2,26.4,86500,533.04,1,128,0.6154168752153858,62,1
a9067af5f92a309fd2ed38c2e39de5c4,3,2,24.15,18106,292.3,1,67,0.6153738430452738,63,1
00bf3995126e432218c5a50ba3d03546,3,1,23.1,17064,205.47,0,208,0.6152295672911445,64,1
4134a103e1a66c5ba69ab608d5e54096,4,1,16.5,32804,329.59,0,20,0.6152164622329329,65,1
0c001227ddc8c75399821ddefd668871,4,1,17.320999999999998,13710,168.47,0,348,0.6148394598305147,66,1
32767c4e17645b50abc97aa087ec8bb1,4,1,23.1,23929,301.06,0,83,0.6148354483505788,67,1
62adafe742be7330ea6de624815fae48,4,1,17.32,5933,62.07,0,133,0.6148279667368816,68,1
0bfc9e2d44c6b39e6b0e357481f602f0,3,1,15.5,19244,242.52,0,66,0.6145144100076224,69,1
aa05443c0f9279204914a8f2377c3da4,3,1,23.036,16357,200.54,0,362,0.6143971105722422,70,1
6ecd593f1eece8fa64ac76852b773917,4,3,25.0,182878,1022.23,1,300,0.6139536392652718,71,1
1d8e17bf13218e671e968871e0c6373f,4,2,24.248,8841,108.61,0,363,0.613933455040146,72,1
9fd23639d31247c2e115689027b2c5db,4,1,90.0,337760,1888.11,0,27,0.6138310798753568,73,1
ab3dea5cf349abfa77161a8cb1f1e662,3,2,31.5,10901,123.98,1,122,0.6138085520612138,74,1
2396427689a9a67ee3bb339af5116b3d,3,1,17.320999999999998,3488,46.24,0,17,0.6136705165034412,75,1
a8ae4eee59a37685dcc0bde8042769a5,4,1,20.0,50086,551.78,0,204,0.6135821299231242,76,1
62b0996549a9f6047ed6037be51bca51,3,2,15.5,5162,65.06,1,131,0.6135633068262895,77,1
f663b6cc47b037fb6d49bcf0e99a3020,3,2,30.0,69286,710.5,1,346,0.613123036038621,78,1
62337f8e17f9447262214d2af0b9f4ae,4,1,25.0,8878,126.91,0,327,0.6130691869336304,79,1
5e7620d4e0c608b19f8646abbecc920b,4,1,16.5,10687,120.33,0,322,0.6129853870630307,80,1
d67e76d10996be425947b558741c35c0,3,1,33.0,7234,83.06,0,284,0.6127653222978692,81,1
6363bc245cedffe9f95328e85e1d39b0,4,2,17.0,20559,287.81,1,130,0.6126960528422227,82,1
61e9428581049a707c2755e96f1ea99e,4,4,15.1,1514,12.43,1,181,0.6124865933724762,83,1
298619a8a677d264ef12304f32ad5e98,4,2,25.097,55611,559.15,1,40,0.6122216632500972,84,1
5d00d51874dc8707cf27c63763b48c29,4,2,25.0,17662,314.63,1,146,0.611939438768625,85,1
a83153c158b3e396f970da581a3e5e93,4,1,41.5,12235,137.2,0,8,0.6118401598789596,86,1
d00e8a9951b5551d8f02e45f9ed2b0dd,3,1,50.0,290003,10203.5,0,284,0.6117623625296305,87,1
2e919eb3efb9eb8c1cf5d33a88c2fd5e,3,1,23.1,7324,83.51,0,299,0.611683377599584,88,1
280e5b96989ea86ee9a99698ffe81ba1,4,2,27.71,3870,48.43,1,361,0.6114206686730654,89,1
224b26985c13be8a783088175ff6a79e,3,2,60.0,95552,958.06,1,135,0.6111801560754379,90,1
fc8f5dfb1f78124502c0ba26d15e6093,4,1,20.785,13628,158.69,0,131,0.6111387210554778,91,1
d0ea3166c6a9cd87a93a4545e1f7bd78,3,1,44.0,9095,134.77,0,23,0.6111115788847028,92,1
ed2a4b8e07d91b29465b8b09933ab960,4,1,200.0,182830,545.27,0,357,0.611082159189688,93,1
83266f00f2168a367ae888aa72202658,4,1,40.0,46231,347.77,0,184,0.6110523563725553,94,1
c0007577f485e5b37165c93c252b7f80,4,1,20.0,13844,173.43,0,129,0.6110153311751519,95,1
b0adb9ac49f2f6a1f562b378a4f01138,4,1,22.0,46486,544.32,0,260,0.6108632955180622,96,1
e95f1188dbc7247fbc0104d283e22dfe,4,1,108.0,401088,1857.4,0,25,0.6107904310255068,97,1
5cfcac16bf76d95edd04209bfbff0895,3,1,51.0,29669,341.73,0,129,0.6107709699399614,98,1
783f1cd24ba3067c77f24b085632ef79,4,1,19.8,1251,15.74,0,24,0.6107525034550194,99,1
63b387f9b15aa773774eeb21973a6f61,4,1,20.0,10421,132.43,0,358,0.6107453384287678,100,1
3bbbdff45250c760abf8bc33f92fb819,4,2,25.0,42205,423.42,0,211,0.6106173687211123,101,1
a7b9672920e8a24be67868634e00ab74,4,2,29.7,64960,750.5,1,320,0.6105888459662326,102,1
eded4a622b6ca5113ff91ed1e398dafe,3,1,27.71,8103,102.18,0,339,0.6105475480144872,103,1
0ae229ae741980a66b99642d4d83cdc8,4,2,19.8,25688,304.75,1,363,0.6104275496683893,104,1
09dac4dd0cc43f6b6fd432094b66e3da,4,1,46.0,17777,188.89,0,2,0.6103866001982418,105,1
a5cb74bb90c992a62bfc6b8a7c0db94b,4,1,43.646,8624,109.91,0,191,0.6103023999725518,106,1
0fc0574e030da230810095b10843087f,4,1,24.8,9710,125.94,0,315,0.6101485941448236,107,1
9c4d52856aa5fbfd3dd6bf07f472c6cc,4,1,26.3,3967,67.04,0,68,0.6101451204524047,108,1
9d860782b2d210345231cb660828b48a,4,1,23.1,9456,117.9,0,285,0.6099685994235726,109,1
818b8bca0a9d7668252d46b978169325,4,1,25.0,95505,4346.37,0,29,0.6098437659902065,110,1
8207b8396c6a4cbb0c0c68a3974ce1b9,3,1,22.0,12772,166.83,0,123,0.6098278894904494,111,1
866073d4f02819c6fb2bda87c9f263cf,3,1,8.8,18896,195.82,0,14,0.6098054571975235,112,1
0ccc2948934ae51df8fb79d2f7ea4304,4,2,20.0,39446,266.73,0,239,0.6097207886342695,113,1
348f896dcb88f193cfdca1f9ca9e4529,4,2,17.320999999999998,7575,51.77,0,161,0.6096266281293239,114,1
ba593ff0f75ffdd24b54ebab54d7ea5f,4,1,18.0,35153,60.75,0,348,0.6093407488788602,115,1
3d22f293745a0222d0b2d4223bf769be,4,1,20.7,12195,148.06,0,89,0.6092958993681868,116,1
f4813dc46146e4b7b9f1934c6100b7d5,4,3,45.0,34125,435.32,1,136,0.6092823453990057,117,1
f2e240c85d5273a6bed5a0b38df9b4c7,4,1,13.856,13304,964.93,0,35,0.6092572368913641,118,1
0d2473de52e43e09dd0ecdb3d4333d63,3,1,18.0,14630,174.48,0,64,0.6091730623436843,119,1
44ff75399c0eab73898313aa2ec21ba0,4,2,20.0,4646,62.74,1,343,0.6090748426423055,120,1
d2c6a6412baa32092f582bca3217660f,4,1,19.8,34866,400.69,0,32,0.608977593258047,121,1
16af5c5dbe0413f6a2075dee8834eef1,3,1,13.2,82696,282.22,0,0,0.6087358438266851,122,1
7eee091d299541f313ecf996dc76da7f,4,1,33.0,23735,294.45,0,139,0.6086235928570357,123,1
54b66f258644ef52cfa96b770156237e,3,2,80.0,90083,942.96,1,187,0.6085068076886112,124,1
7d8a5987812f15ea680fc5b78cd1d5f5,4,3,20.785,19836,247.85,1,136,0.6083551861978065,125,1
83f5002b66ee6c4676d35e64931082d4,3,3,33.0,79066,865.61,1,236,0.6083391330623719,126,1
31f2ce549924679a3cbb2d128ae9ea43,3,1,50.0,41078,566.27,0,116,0.6083054589751232,127,1
75bc0c467e34717282cb63779718310e,4,1,20.0,273212,486.74,0,75,0.6082859909610585,128,1
e552ede3ad6271fb73560fc530681c53,3,1,28.0,103675,936.13,0,208,0.6081764778799453,129,1
effd22f8e6253e0d6586a1eb903ee4b8,3,1,69.28,62774,658.65,0,346,0.6081762385399438,130,1
aa29733e21626b7002f2165bfe1a046c,3,1,23.1,357647,331.43,0,346,0.6081388396167831,131,1
3009f8803b8027d1a4e4242e1ff6ef30,4,1,28.57,208888,585.01,0,87,0.608068672803691,132,1
80c06d842f931db264dd45a8cb1f474f,3,2,25.0,35939,404.09,1,56,0.6080295701145566,133,1
65afe7f2125fd9cb8335f9b135fb4ff2,3,2,27.71,16722,204.3,1,145,0.6079659242739033,134,1
d36c76e73d1359f4199782be9db22c98,3,1,17.320999999999998,5395,67.12,0,215,0.6079147521778612,135,1
d9c6928178bb5de5884170d982368ba1,3,1,17.320999999999998,24971,343.15,0,357,0.6077110846640534,136,1
556c2393bf1b67b365cb37b09c2246d9,4,1,17.320999999999998,35005,0.22,0,103,0.6075457469812067,137,1
c3b88800a1a1186785c3c6caae006ef6,3,1,44.0,170463,404.41,0,44,0.6073028882252641,138,1
0013f326a839a2f6ad87a1859952d227,3,1,20.0,267414,341.58,0,25,0.6072977458788035,139,1
623ab65723d7165011763f11b7187b02,4,1,19.72,11585,159.99,0,110,0.6071914827879427,140,1
97a6aa9219e19c87a331317ca48f2df6,4,1,29.7,21388,265.97,0,151,0.6071384273445833,141,1
8dc018e7a387c73803e0c7da8fd99b00,3,1,43.648,15551,215.75,0,300,0.6071152401640122,142,1
0b7c23110587cbb6273763c745f220d7,3,1,30.0,8924,96.37,0,290,0.6070590721129111,143,1
b8f6efbe903546e2806a8f26e582f023,3,2,25.0,42986,324.42,1,105,0.6069807049488583,144,1
9c87f2cf340cc9cd98b295d43e0c2371,4,2,20.0,41512,555.06,1,344,0.6069728992687271,145,1
36c164a277fa9903ad34e84ea437da5a,3,1,60.0,139062,292.94,0,346,0.6067067519815887,146,1
a0bbb9c796012dcb3bf30ae1aa618627,3,2,17.320999999999998,23483,297.08,1,74,0.6066976079770972,147,1
207e7319fb5e5a4c4892c07099f551e7,4,1,49.0,3712,173.91,0,113,0.6064769050657324,148,1
53b3ba959ec13583461fa89d7ab30b77,4,1,30.0,44226,544.46,0,143,0.6063995759244732,149,1
ea3ec53734ef7cd26cfb08ee38832f76,4,1,20.0,9988,126.27,0,236,0.6063715218447088,150,1
cb39ed1cfa35eda234358d52df205174,4,1,17.320999999999998,8201,109.04,0,75,0.6062548555063993,151,1
176d56816b0c581c6d908fa7b40a94cf,3,1,31.0,7858,76.79,0,203,0.6062321133085115,152,1
97c6acbfe416ec85224c61a5425ee9f9,4,1,27.71,17053,222.33,0,125,0.6061325083433168,153,1
54e34064cfd7b59d28e1535df12a6fca,3,1,20.8,11901,176.11,0,137,0.6058583523760381,154,1
d5ca5986a3db70517dd5fb30245f9672,3,1,52.5,32795,389.34,0,88,0.6056600534840626,155,1
593a5a2e8223a2d749a40d0b7578a140,4,1,19.8,6856,81.48,0,13,0.605521331915174,156,1
3c0fdddfe7b70c6a4b41e458c73fb4c9,3,2,25.0,4791,69.84,0,22,0.6054623571196861,157,1
38204a8719263fb85ad0362458089d94,4,1,17.320999999999998,21762,265.67,0,342,0.6052517406547886,158,1
5ebb0af19df380ebbbd1ce52f04f4ee0,4,1,56.0,66286,764.88,0,294,0.6052475767064592,159,1
0f8a234b087a15d46e80dc318b41ee04,4,1,19.8,2716,28.77,0,356,0.6050033564079645,160,1
73db84a2692884d70436a2a496680527,3,2,27.71,78574,697.02,0,4,0.604826972340326,161,1
417dace351647edd8e8ade3b179fae88,4,1,15.5,110534,128.82,0,19,0.6048255869133676,162,1
c569134fe60a146b89d00e229a050542,3,1,17.320999999999998,23712,325.58,0,270,0.6048147170254051,163,1
64701769e49da5475a7908ba41c143f2,4,3,22.8,7765,99.74,1,86,0.6047654056770871,164,1
7116d714e338696b99bc3458a0a4bc9c,3,1,19.9,494,1.46,0,207,0.6047646616624583,165,1
ce80d534b734976f6f0efdf06a57d266,3,1,17.73,17188,224.09,0,327,0.6047423546412695,166,1
db2ae622ee38348fb70f1110a8d26b84,4,1,19.398,63539,662.17,0,362,0.6045218960540665,167,1
c58c2746604d9745af4b69d33dd2db2e,3,1,49.4,18518,287.38,0,132,0.6044325126905412,168,1
cc799ae15a5d0dbc73f34a28eb21e8a1,4,2,20.0,25983,219.75,1,285,0.6043280310879944,169,1
afeccd159118276cfd41e3588f694b6f,4,1,31.2,3078,64.27,0,94,0.6041917822130526,170,1
4162a5243c67678f4a12d1c43e5ec6d7,3,1,13.2,1961,267.31,0,306,0.6041730461091245,171,1
53efc4635e21aeed268cd30b5805ddfe,3,1,16.5,4135,45.2,0,359,0.6041471417892064,172,1
3e750adc92fa53326a242c01e0510d4b,3,1,43.648,7,0.23,0,11,0.6040959903237632,173,1
78dbdc8a50b575e83221e0b2b1bd014a,3,1,22.17,10304,126.77,0,250,0.6040823274780394,174,1
c6de28f2f999779bdc4a7686bdf23d90,4,1,21.0,11276,139.35,0,117,0.6040362878455018,175,1
21adcb5571d4390b0e18374f7523a4fd,4,1,26.4,7838,95.71,0,146,0.604027009387792,176,1
ee98a86efa759681cc59c7d4e0d0312f,4,1,16.0,73771,3407.65,0,28,0.6039290067787798,177,1
b05fe3e04ab38c68784c783d97bb55fc,3,1,17.25,4904,70.85,0,212,0.6039148500587608,178,1
74d4c77d5e3b67eacd613a6652f2a212,3,1,19.745,4330,50.31,0,17,0.6036420468853654,179,1
99968cca1ca316537a70aaaacefdea76,3,2,60.0,23363,295.02,1,125,0.6036070874961382,180,1
1d95ac533f773dceef9e893a82f0b406,4,1,50.0,86254,665.49,0,296,0.6035573726981193,181,1
25802007a9735145121dca1dcb5c9960,3,1,41.5,210592,220.01,0,312,0.6035136347711304,182,1
960a9c9a105a096059431a50c2fe2494,3,1,15.001,85074,885.74,0,0,0.6035007361313788,183,1
39c1c538c36493fe17cfa7d27f8e02fe,4,1,21.04,24782,305.91,0,352,0.6034200028961321,184,1
57af294b9af103332d9db243745aa36b,4,1,21.0,9008,58.97,0,37,0.6033796575935858,185,1
5b8218cdb4964c6a069afe1c3fdf1fa9,3,1,19.8,34254,441.65,0,323,0.6032685825596418,186,1
b3e3912b2409ebca0a26eeb9f7e8242e,3,1,20.0,22153,252.51,0,290,0.6031583496631177,187,1
2d4ccfc548a2aa34b5c40b63b12da7f0,4,1,98.0,172079,1164.19,0,284,0.6030636180253983,188,1
22c807610e6374f80ffe88d38a283e4f,3,1,20.785,23191,311.04,0,363,0.6030592526542179,189,1
708ba7a2d970bd2848a6fa4447d96719,4,1,19.8,33514,185.89,0,342,0.6030396384173046,190,1
6b2f0b6e87aaa8d4320cd63eea857227,4,2,43.648,2233,74.15,1,355,0.6029827349404637,191,1
9b5071e3f2289ab4887a863ac4470767,3,1,23.1,18597,248.3,0,57,0.6029572299876449,192,1
b5419acbee1336d0fdc1a89d3f4f506a,4,1,20.0,7432,100.73,0,350,0.6027938821228561,193,1
978cfd9706f6b7cfef17b65aec9375f1,4,1,16.5,22001,181.02,0,363,0.602631845004992,194,1
2465b048bb7ea1c47eec8a78739961dd,3,1,23.1,9686,175.45,0,247,0.6026080438829374,195,1
310d00fdd6328b9c77c64ab724a9395b,3,1,20.785,1264,16.62,0,271,0.6024029912075417,196,1
073a4deaf790d32dd8c30483aa31fb0d,4,1,45.0,80680,935.78,0,52,0.602330219174019,197,1
70301fceef06bf46493ddc8bf3db6a52,4,1,17.320999999999998,10604,116.88,0,8,0.6023001312602849,198,1
bd0628d04179abf0c14e76044a2a670f,4,1,17.320999999999998,24816,301.81,0,131,0.6022871853810983,199,1
e5589f4f7d8ed74c47ddd700e1a4aec4,4,1,32.0,43086,566.64,0,322,0.6022428375674884,200,1
df0edd6b1b907bbcdd5b285432aeb747,4,1,17.320999999999998,6222,83.96,0,190,0.6022181878976848,201,1
3e41e42f369f02383cb720aa3368fa77,4,1,17.32,6533,87.96,0,342,0.6021407783691703,202,1
7dea36a369604b308dc5158610fcdfe9,4,1,19.8,33892,520.45,0,322,0.602074313295269,203,1
135706c5d9d6e8db25bb54f7c8c44c26,4,1,20.0,35609,453.6,0,133,0.6019568447701571,204,1
214c72022d0f080b6f676ccc4b66c644,4,1,19.72,35154,85.82,0,137,0.601900581224361,205,1
9a5fc631dbdf3e0bf9910d9b8cc80769,4,1,23.1,14813,166.23,0,319,0.6018267749190095,206,1
726e52ea83ca2527b6ad999595806b3d,4,1,48.0,44650,585.63,0,224,0.6018058886858253,207,1
ea26723ab91baee95bdd51f58eed2c54,4,1,17.32,11132,53.7,0,151,0.6017040348154912,208,1
d218c98deef77c705fe6f1c3db1674c8,3,1,16.82,0,0.0,0,4,0.6016879200886367,209,1
904152da8cef6240ff37a9e115f26c19,3,2,29.7,216676,701.13,1,135,0.6016018913714272,210,1
bd6118f8433aba7e794643ea7048935f,3,1,31.5,1981,28.92,0,151,0.6015295512012482,211,1
8d1a9ca8f30c2ebb7f73bf57b6f2c46d,4,1,18.0,30962,369.79,0,117,0.6015051062871982,212,1
60006c29d996bc6c32a5e34aeb9b7d20,4,1,27.713,8236,118.1,0,197,0.6014040208241297,213,1
5bd2f0dbf0e8ee246e777d1bb58c86bc,3,1,20.0,24259,310.21,0,193,0.6013649840775084,214,1
aa35ce130cce3f1a78277f22f3d14e3d,3,1,20.0,35766,465.12,0,206,0.6013435555062716,215,1
896902e8d06bc3d3ed4e4f38eb0e9f12,4,3,80.0,96449,986.38,1,42,0.6013194106513596,216,1
8bc5f4476f690143e49939710de9db74,4,1,30.0,5674,71.24,0,88,0.6013030121375448,217,1
04d723a1dfc953ee20c420e465a83ca0,4,1,20.784,7995,101.34,0,190,0.6013002314457006,218,1
881d231222af03075c9b7b2777a9ab5f,4,2,41.42,73469,842.73,1,252,0.6012403555614768,219,1
87c53cfbd4644a9fc572a95b7df6553b,4,3,25.0,44218,537.47,1,363,0.6008777466744849,220,1
a219e5d23a255a12e32705f1b4bbf8c7,3,2,26.28,37116,390.53,1,123,0.6008689407834401,221,1
c6d44aac7e86565c0db160936617483f,3,1,23.1,47177,505.25,0,72,0.6008125147648321,222,1
3ad28b9354c91f51f5a34f06f21526b6,4,1,20.0,13405,167.06,0,106,0.6007009969062355,223,1
21b1a04d13ff091b721991632862337f,4,1,32.9,34418,431.65,0,38,0.6006543008173123,224,1
1be33132638ea0fa7f459b5cdbecf8dc,3,1,155.88,57700,632.95,0,186,0.6005486887145314,225,1
5e7f6415829d7bdb593401deaabc0485,4,1,15.935,10738,200.44,0,330,0.6004793663219775,226,1
a5b188af7e1738810ae2fcf9b115a6c5,4,1,20.78,5782,102.82,0,136,0.6003502797959609,227,1
ea91de46110da8177666ea62324a7aaf,3,1,17.25,38802,453.26,0,215,0.6001901348239336,228,1
2a5dc830d0f2810a9f1fef26e8e594b4,3,1,16.5,5658,77.18,0,179,0.6000799450593574,229,1
0a94d623d227b77dde37a17d077bdb99,3,3,19.8,24067,295.88,1,15,0.6000266337458414,230,1
7f13f2c0b3eedd8d4d3d427ccd29d0ff,4,2,20.7,14665,131.88,1,118,0.6000039846775737,231,1
29c97251fca20ec99af7819d2a56888f,3,1,19.8,52473,601.76,0,305,0.5998803652313022,232,1
8129f4f475a808e750d96f261a682696,4,2,10.392,12605,1118.48,1,32,0.5998371903182733,233,1
79d305be61abdc6882b8343a31735047,3,1,18.0,88221,391.69,0,289,0.5997627480187594,234,1
228497e016a14dfebbfc8742a7dabff0,4,1,60.0,23737,1112.53,0,36,0.5997445420384918,235,1
8f52ace6580990e5fa3e82caf3f035ad,4,1,17.320999999999998,34522,437.74,0,217,0.5995821107110336,236,1
aa4ebe702fbcc868bf500086ae083ef3,4,1,16.5,10527,111.52,0,11,0.5995742166591637,237,1
9ca8c6440805133f12675ace22615371,4,2,20.0,9343,114.11,1,130,0.5992664607764014,238,1
58eab0ded6a4a2698bc7f179fda50d8b,4,1,39.5,37591,189.82,0,136,0.5991615178006222,239,1
8edbd10b24bb0cce306a2f46ab164247,4,1,19.8,38998,402.28,0,299,0.5991149932231715,240,1
b199686505f28ed74e725beb8d96543e,3,1,41.5,45759,539.92,0,324,0.599112486624291,241,1
8c754ed545769094ac652456aa7d7110,3,1,40.0,43901,289.11,0,269,0.5990618924999391,242,1
db54c39d403cde50ae3aeb98fd113b89,4,1,44.0,67533,589.56,0,105,0.5989980825620421,243,1
e2d7d85936253474bf5436d969194bac,3,1,34.641,40477,496.43,0,137,0.5989348057044251,244,1
c3d20b11a120c132f891adfe04d47fd6,3,1,45.0,7,0.09,0,22,0.5989230283444417,245,1
ff815cd2b6c1a7a4c5e85c465471d975,3,2,30.0,45642,577.99,1,307,0.5988651549181077,246,1
790ca86288575aadee7ac0bbf45260e5,3,1,17.6,59807,684.47,0,287,0.5988200346368199,247,1
56627b3200056b8f4c68b347caede1fb,4,1,17.320999999999998,15562,226.71,0,144,0.5986669748975052,248,1
21ee963aa3e4acda350a67efea20907d,4,1,50.0,3386,98.81,0,97,0.5986609844906561,249,1
7668f0298a27bec7af67077a2fa53cc2,3,1,20.86,40233,507.11,0,189,0.5986553464229222,250,1
a53585e51bc5aa16545a96cb158287b9,3,1,23.0,40188,528.02,0,284,0.5986155094975883,251,1
0ef7d049f08d537bd8d9b22e44fb3996,3,1,17.25,62328,627.94,0,134,0.5984092191721357,252,1
dc997c3c0b9c314ae9cf91b57eb668cc,3,1,17.320999999999998,13495,165.91,0,355,0.5983610734029894,253,1
59a49e2458b469c482f5f83bab6dbef7,3,1,29.7,33862,370.29,0,365,0.598359440902388,254,1
e671efa2ea26148fc32062ba5a772d76,4,1,19.8,29160,309.34,0,86,0.5983245783871155,255,1
